Change Component Footprint: Designator=U34 Old Footprint=44A_N New Footprint=44A_M
Change Component Footprint: Designator=D1 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D2 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D6 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D7 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D11 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D12 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D13 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D14 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D21 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D22 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D23 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D24 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D31 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D32 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D33 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D34 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D38 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D39 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D43 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D44 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D45 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D46 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D47 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=D48 Old Footprint=R0603_N New Footprint=R0603_L
Change Component Footprint: Designator=F1 Old Footprint=R1206_N New Footprint=R1206_L
Change Component Footprint: Designator=D3 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D4 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D5 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D15 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D16 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D17 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D25 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D26 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D27 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D35 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D36 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D37 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D49 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D50 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=D51 Old Footprint=SMB_N New Footprint=SMB_L
Change Component Footprint: Designator=U16 Old Footprint=SOT363_N New Footprint=SOT363_L
Change Component Footprint: Designator=U17 Old Footprint=SOT363_N New Footprint=SOT363_L
Change Component Footprint: Designator=U22 Old Footprint=SOT363_N New Footprint=SOT363_L
Change Component Footprint: Designator=U23 Old Footprint=SOT363_N New Footprint=SOT363_L
Change Component Footprint: Designator=U28 Old Footprint=SOT363_N New Footprint=SOT363_L
Change Component Footprint: Designator=U29 Old Footprint=SOT363_N New Footprint=SOT363_L
Change Component Footprint: Designator=U35 Old Footprint=SOT457_N New Footprint=SOT457_L
