"Bill of Material for "
"On 01/08/2014 at 05:01:49 p.m."

"Comment","Pattern","Quantity","Components"

"0.1uF","C0603_N","5","C3, C4, C5, C6, C7",""
"0R","R0603_N","1","R52",""
"10K","R0603_N","1","R50",""
"10uF","C_TANT_A_3216_N","2","C1, C2",""
"120","R0603_N","1","R51",""
"1206L150THWR","R1206_N","1","F1","FUSE PTC RESET 8V 1.50A 1206"
"ATXMEGA32A4U-AU","44A_N","1","U33","IC MCU 8BIT 32KB FLASH 44TQFP"
"BLOCK_CONN2X2","block_conn 2 x 2","7","P1, P2, P3, P4, P5, P6, P8","TERM BLOCK 2POS STACK 5.08MM PC"
"BLOCK_CONN2X3","block_conn 2 x 3","2","P7, P9","TERM BLOCK 3POS STACK 5.08MM PC"
"CPC1020NTR","SOP4_N","12","U13, U14, U17, U18, U19, U20, U23, U24, U25, U26, U29, U30","RELAY OPTOMOS 1200MA 4-SOP"
"EZJ-Z1V420FA","R0603_N","1","M1","VARISTOR 42V 15A 0603"
"Green","R0603_N","25","D1, D2, D6, D7, D11, D12, D13, D14, D21, D22, D23, D24, D31, D32, D33, D34, D38, D39, D43, D44, D45, D46, D47, D48, D49",""
"Header 2","HDR1X2","1","P10","Header, 2-Pin"
"Header 3X2","HDR2X3","1","P11","Header, 3-Pin, Dual row"
"IP4220CZ6,125","SOT457_N","1","U34","IC USB DUAL ESD PROTECT 6TSOP"
"LL4148","SOD-80_N","12","D8, D9, D10, D18, D19, D20, D28, D29, D30, D40, D41, D42","DIODE SMALL SIG 100V 0.2A SOD80"
"LM1117MPX-3.3/NOPB","MP04A_N","1","U32","800mA Low-Dropout Linear Regulator, 4-pin SOT-223, Pb-Free"
"Logo_DeepSea","DeepSea_logo1","1","LOGO1",""
"MICRO_USB","USB_MICRO_SMD","1","J1","CONN USB MICRO B RECPT SMT R/A"
"MountingHole-1/8in","MoutingHole-1/8in","2","M2, M3",""
"MUN5213DW1T1G","SOT363_N","6","U15, U16, U21, U22, U27, U28","TRANS PREBIAS DUAL NPN SOT363"
"R_SMD","R0603_N","49","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49",""
"R-78B5.0-1.0","SIP3_RECOM","1","U31","CONV DC/DC 1A 5V OUT SIP VERT"
"RJ45","rj45","1","J2","CONN MOD JACK R/A 8P8C SHIELDED"
"S1BB-13-F","SMB_N","3","D50, D51, D52","DIODE GEN PURPOSE 100V 1A SMB"
"SMBJ5344B-TP","SMB_N","12","D3, D4, D5, D15, D16, D17, D25, D26, D27, D35, D36, D37","DIODE ZENER 8.2V 5W DO214AA"
"ST3485ECDR","SOIC8WA_N","1","U35","TXRX RS485/422 3.3V ESD 8-SOIC"
"SWITCH","swich_foot","1","SW1","SWITCH TACTILE SPST-NO 0.05A 12V"
"TLP185(GR,E)","SOIC6 (4 leads)","12","U1, U2, U3, U4, U5, U6, U7, U8, U9, U10, U11, U12","OPTOISO 3.75KV TRANS 6-SO 4 LEAD"
